,0
2783, Eh bien je voudrais qu’on m’explique comment on peut avoir trente-sept heures d’enseignement utile dans une semaine scolaire
2784," Comment on peut faire que des élèves au collège ou au lycée aient un horaire d’enseignement obligatoire, sans compter les devoirs et les leçons à apprendre, qui dépasse l’obligation horaire de leurs parents lorsqu’ils sont employés dans les entreprises privées ? Et je suis sûr qu’il y a là, dans une meilleure organisation de la semaine, des moyens à récupérer pour que l’on puisse faire du soutien, des options, et Dieu sait que je suis défenseur d’un certain nombre de ces options qui me paraissent tout à fait essentielles pour l’égalité des chances et l’égalité de la condition scolaire d’un certain nombre des élèves ! En tout état de cause, ce sujet doit être placé devant nous comme un sujet central"
2785," Bien sûr il y a des sujets qui tiennent à l’université, bien sûr il y a des sujets qui tiennent à l’orientation, bien sûr il y a des sujets qui tiennent à la formation professionnelle"
2786," Je suis frappé chaque fois que je visite -je l’ai fait encore en Mayenne récemment- des instituts de formation par alternance, de ce bonheur dans le regard des étudiants qui suivent ces formations par alternance"
2787," Je demande qu’on conserve ce critère, seulement celui -là, vous leur posez la question : ""êtes-vous heureux de faire ce que vous faites ?"" À 100% la réponse est : ""oui, c’est formidable parce que cela nous donne de l’autonomie, cela nous apprend à découvrir l’entreprise, c’est un métier qui nous est garanti à la sortie"
2788,""" Je vous le dis, je ne comprends pas les réticences qui dans un certain nombre de milieux sont répandues contre cette formation par alternance et qui est un des atouts pour l’avenir de la France ! 988 Voilà ce que nous avons besoin de faire : produire chez nous, équilibrer nos comptes, reconstruire l’Éducation nationale en garantissant ses moyens"
2789," Autant je ne crois pas aux dizaines de milliers de postes supplémentaires, et je suis absolument certain qu’il s’agit d’une promesse abusive, autant je pense en effet que pour donner un signe d’intérêt, il faut que l’Éducation nationale soit garantie dans les moyens actuels qui sont les siens aujourd’hui, et je prends l’engagement de faire que les départs à la retraite seront remplacés poste pour poste, les enseignants qui partiront pour suivre d’autres carrières ou pour s’aérer et avoir une autre expérience de la vie soient remplacés de manière qu’il n’y ait plus ces coupures annuelles ressenties comme profondément blessantes dans les moyens de l’Éducation nationale"
2790," C’est un grand effort que je propose, mais cet effort me paraît nécessaire parce que c’est un investissement pour l’avenir qui me paraît garantir le contrat que la nation doit passer avec son école"
2791," Et puis, nous avons un dernier sujet à traiter et ce sujet, ce matin encore dans une enquête, il est plébiscité par les Français"
2792," C’est : nous avons à prendre une décision qui ne tergiversera pas, une décision qui s’imposera à tous, nous avons à prendre des décisions annoncées depuis des années et toujours retardées pour obtenir la moralisation de la vie publique dans notre pays, dont il a tellement besoin ! Il y a des années que sur ces sujets tous les partis, et notamment les deux partis qui exercent alternativement ou ensemble le monopole du pouvoir, le Parti socialiste et l’UMP, sont venus devant nous, devant les Français, expliquer que oui ils allaient le faire"
2793," pour la prochaine fois ! Il y avait une fable qui disait : ""demain, on rasera gratis"" et quand le client revenait chez le barbier le lendemain et réclamait que soit tenue la promesse, on lui disait : ""mais vous voyez ce panneau, monsieur, c’est écrit dessus : demain on rasera gratis"" ! Eh bien c’est comme cela que fonctionne la question des règles qui doivent imposer un changement des pratiques qui nous ont fait tant de mal dans la vie politique française"
2794," Et c’est pourquoi j’ai dit : j’organiserai un référendum, je propose la date du premier tour des élections législatives, c’est-à-dire le dimanche 10 juin, pour que toutes ces questions qui traînent depuis des années soient traitées une bonne fois pour toutes"
2795," Alors, la moralisation de la vie publique, je vais énumérer les principaux chapitres que j’ai à l’esprit"
2796, Il y a des années qu’on nous rebat les oreilles avec les engagements des uns et des autres pour mettre un terme au cumul des mandats qui est une anomalie complète de la démocratie française
2797," Je propose qu’on n’en parle plus mais qu’on le fasse, et que le premier dimanche de juin on décide que quand on est député dans la République française, ce soit un mandat qu’on doive exercer et un seul"
2798, Je propose qu’il ne soit plus admis en France qu’on puisse voter à l’Assemblée Nationale ou au Sénat sans être présent dans l’hémicycle
2799," On vous fait voter, vous ne savez même pas que le vote est organisé ! Je propose que tous les votes, comme ils le sont au Parlement européen, soient des votes publics et que les citoyens puissent consulter le vote qui sera émis par leurs élus, qu’il y ait transparence dans ces votes"
2800," JeanMarc Sauvé pour éviter le mélange des intérêts privés et de l’intérêt public dans notre pays, et qu’en particulier les élus soient soumis à une déclaration d’intérêts pour qu’on sache dans quel domaine ils n’ont pas le droit de participer à la décision puisque les intérêts personnels s’y trouvent engagés"
2801," Cette règle est appliquée au Parlement européen, je trouve que c’est une règle de bon sens et une précaution qui aurait évité, les années passées, bien des dérapages dans l’organisation du gouvernement en France"
2802," Je propose qu’on mette un terme à toutes ces structures complètement bidon, dont le but est uniquement de tourner la loi sur le financement des partis politiques"
2803, Je suis pour l’interdiction des « micro-partis » qui sont de faux partis et qui ne servent qu’à une chose : à financer indûment par des réseaux les réseaux politiques en question
2804," Je propose qu’enfin et une bonne fois pour toutes dans notre pays on reconnaisse la validité du vote blanc, parce que c’est un vote citoyen, c’est un acte citoyen que d’aller participer à un vote, même si c’est pour dire que l’offre politique ne vous convient pas"
2805," C’est un acte qui a autant de poids que le vote de celui qui va se résigner à choisir un candidat malgré lui, et on sait bien que cela existe dans un grand nombre de cas"
2806," Je propose qu’on reconnaisse une bonne fois pour toutes l’indépendance de la justice en obligeant pour la nomination du Garde des Sceaux, ministre de la Justice, qu’il reçoive un vote de confiance qui obligera à l’accord de la majorité et de l’opposition, pour qu’il soit au-dessus des considérations partisanes et qu’il ne soit plus seulement soumis à l’exécutif"
2807," Je suis pour qu’on traite la question de l’indépendance des médias et qu’on enlève au président de la République le pouvoir qu’il s’est arrogé de nommer lui-même, arbitrairement, ou en tout cas personnellement, les présidents des chaînes de l’audiovisuel public en France ! Parce que les chaînes de l’audiovisuel public n’appartiennent pas au pouvoir, elles n’appartiennent pas à l’exécutif, elles n’appartiennent pas au président, elles appartiennent aux téléspectateurs qui paient la redevance audiovisuelle, quelle que soit leur opinion ! Et je prends l’engagement qu’on mettra en place un haut conseil dans lequel le pluralisme des opinions sera représenté et dans lequel les usagers de la radio et de la télévision et les professionnels de la radio et de la télévision seront représentés pour que la nomination de leur président soit au-dessus des contingences partisanes"
2808," Et je prends l’engagement de restaurer en France l’Etat impartial, l’Etat qui ne dépend pas seulement de deux partis, mais qui est ouvert 989 s’agissant des fonctions au sein de l’État, des responsabilités au sein de l’État, uniquement à trois critères : la compétence, l’exigence et la loyauté"
2809," et pas la carte de parti ! J’indique au passage que j’ai été extrêmement choqué, je distribue avec équité les critiques entre ces deux partis-là, que François Hollande recevant des experts hauts fonctionnaires, vous savez le moment des alternances ou bien où l’on croit qu’il y aura des alternances, la perspective d’alternance c’est comme on dit pour les troupeaux dans les Pyrénées, c’est la transhumance"
2810," Les hauts fonctionnaires qui étaient ici se débrouillent pour passer là, de droite à gauche ou de gauche à droite alternativement, parce qu’ils ont remarqué depuis longtemps cette chose scandaleuse que c’est par la préférence partisane que se font les carrières au sommet de l’Etat"
2811," Eh bien je considère que c’est une faiblesse pour la République et je prends l’engagement que nous imposerons au contraire des décisions impartiales au sommet de l’Etat, des nominations impartiales au sommet de l’Etat, fondées je le disais, uniquement sur la compétence, l’exigence et la loyauté des hauts fonctionnaires"
2812," Et enfin, je prends l’engagement que s’agissant de la campagne présidentielle, on règle les affaires de telle manière que plus jamais le soupçon ne puisse peser sur le financement de ces campagnes comme il le fait depuis des échéances trop nombreuses, depuis de trop longues années"
2813, Je prends l’engagement que nous abaisserons les plafonds de dépenses de manière qu’on ne puisse plus gaspiller les millions comme on le fait dans les campagnes présidentielles depuis trop longtemps
2814," Et je prends l’engagement que ce plafond de dépenses étant abaissé, nous n’accepterons plus que ce soient des réseaux d’influence financière qui financent la campagne présidentielle en France"
2815," Je suis pour qu’une bonne fois pour toutes on sache que, chez nous, l’égalité de traitement entre les candidats sera rétablie comme elle mérite de l’être"
2816," Et vous voyez que si l’on a en tête ces enjeux essentiels, je n’ai abordé devant vous aucun sujet de diversion, aucun sujet secondaire, aucun sujet accessoire, je n’ai parlé que de ces sujets qui doivent faire le souci de chaque citoyenne et de chaque citoyen au moment de prendre la décision la plus importante dans une des circonstances les plus cruciales de notre pays depuis des décennies, uniquement les sujets centraux : - reconstruire l’emploi par le produire en France - reconstruire l’équilibre de notre pays dans son budget pour que nous retrouvions l’indépendance et la fierté et le regard droit des peuples qui ne sont pas soumis au surendettement, - reconstruire l’Éducation nationale, parce que c’est de cela dont nous avons besoin pour que notre projet de société et la compétence et la force de notre pays soient rétablis, - moraliser la vie publique"
2817," Si nous avons ces quatre objectifs devant nous, alors nous allons atteindre la condition nécessaire à tout redressement et à toute reconstruction, c’est-à-dire que nous allons rebâtir la confiance entre les citoyens et ceux qui ont la charge de les gouverner pendant la période considérée"
2818, Je suis absolument certain que cette confiance peut être atteinte
2819," Le message que je porte devant vous est un message d’optimisme, à une condition ultime, c’est que nous sachions nous réunir"
2820," Tous ceux qui depuis des années ont organisé la vie politique française comme une guerre civile entre deux camps opposés et qui sur tout sujet sont incapables de trouver le terrain d’entente qui rende aux citoyens la volonté et la perspective de leur avenir, ceux-là ont rendu un mauvais service au pays"
2821," Le parti de l’UMP à droite est soumis à l’influence de l’extrême-droite, et le Parti socialiste en France est désormais soumis à l’influence de l’extrême-gauche"
2822," Et je vous dis ceci : il n’existe, dans l’histoire, feuilletez les livres d’histoire, aucun exemple de pays qui s’en sorte lorsque l’influence des extrêmes devient prépondérante dans ce pays"
2823," Prétendre en France aujourd’hui qu’on puisse rétablir le pays en décidant du jour au lendemain de porter le Smic à 1 700 euros, d’instaurer la retraite à soixante ans à taux plein pour tout le monde et que d’ailleurs aucune retraite ne serait inférieure au Smic, créer immédiatement 800 000 postes de fonctionnaires titulaires dans la Fonction publique, rembourser à 100% toutes les dépenses de santé, mes chers amis, c’est peut-être une illusion, mais c’est une illusion qui est un poison mortel ! On va conduire le pays jusqu’à l’accident ! Et cet accident, si l’on retenait des idées de cet ordre, ne tarderait pas"
2824," Je veux que nous soyons, en France, le rempart contre les dérapages que nous promettent les extrêmes"
2825," Il n’existe qu’une force politique qui garantit à la France qu’elle peut trouver un équilibre de ses institutions, un équilibre de sa majorité, qui soit volontaire et qui soit large, qui permette de travailler ensemble, comme cela a été si souvent le cas en Bretagne, à des gens qui vont du centre droit jusqu’au centre gauche, une volonté de reconstruire le pays en écartant les risques des extrêmes, c’est nous qui portons cette proposition devant les Français et nous sommes les seuls à offrir cette garantie à ceux qui ont pour l’avenir le souci de l’équilibre de la France"
2826," Et nous sommes donc les seuls à pouvoir réunir des sensibilités différentes pour entamer l’oeuvre de redressement et l’oeuvre de reconstruction dont la France a un si urgent besoin parce que nous savons, comme nous l’avons écrit sur nos affiches, cette vérité simple, cette vérité fondamentale et qui a été si souvent prouvée en Bretagne : un pays uni, rien ne lui résiste ! Merci de votre présence, de votre chaleur, de votre soutien et de votre exemple ! *** 990 "
2827," Travailleuses, travailleurs, camarades et amis, Plus on se rapproche du premier tour de l'élection présidentielle, plus le PS matraque sur le thème de ce qu'il appelle le ""vote utile"", c'est-àdire voter pour Ségolène Royal dès le premier tour"
2828," Il présente la présence possible, au deuxième tour, de Bayrou, voire celle de Le Pen, comme une éventualité menaçante"
2829," Incapable de gagner l'enthousiasme de l'électorat populaire par ses propositions, le PS essaie d'utiliser un chantage"
2830," Nous ne pouvons pas deviner, bien sûr, qui sera présent au deuxième tour, mais il est quand même invraisemblable que Ségolène Royal n'y soit pas"
2831," Si le chantage du PS marchait, son seul résultat serait de réduire l'électorat d'extrême gauche et même celui de son futur allié, le PC, alors que Bayrou comme Le Pen feront le plein de leurs voix respectives"
2832," Moins le PS avance des mesures favorables aux classes populaires, plus il tente d'empêcher les critiques venant de sa gauche, en particulier de l'extrême gauche"
2833," Eh bien, la véritable menace sur le plan électoral pour les classes populaires réside justement là ! Si Ségolène Royal était élue, elle se servirait du résultat des votes pour s'aligner sur l'électorat de droite, encore plus que pendant la campagne"
2834, Elle serait d'autant moins gênée de reprendre la politique de la droite que ne s'exprimera pas une critique de son programme sur sa gauche
2835," Il ne faut pas marcher dans le chantage ! L'élection du président, c'est au deuxième tour que cela se passe"
2836," Et quel que soit celui qui sera élu, les classes populaires ont intérêt à ce que s'expriment au premier tour, sur ma candidature, tous ceux qui n'acceptent pas que Ségolène Royal, une fois élue, mène une politique de droite et ne donne aucune réponse positive aux problèmes essentiels des classes populaires : le chômage massif, la baisse du pouvoir d'achat et la crise du logement"
2837," Eh bien, pour ma part, j'affirme que, oui, il serait possible de préserver les travailleurs et l'ensemble de la société de ces catastrophes Les mesures qu'il serait nécessaire de prendre sont des mesures radicales mais simples, claires et parfaitement réalisables, sans même qu'aucune n'implique l'expropriation du grand capital et la transformation de la propriété privée des grandes entreprises en propriété collective"
2838," Que la droite ne se soucie pas de l'inexorable descente vers la misère de tous ceux qui vivent et travaillent sans exploiter personne, est dans l'ordre des choses"
2839," La droite défend ouvertement les intérêts du grand patronat, et elle trouve normal que les riches s'enrichissent en appauvrissant les autres"
2840, Elle trouve normal que les grandes entreprises mettent à la porte des centaines ou des milliers de salariés simplement pour voir le cours de leurs actions en Bourse gagner quelques points
2841," Quand j'ai avancé ces mesures pour la première fois, lors de l'élection présidentielle de 1995, il y a douze ans déjà, alors que la crise n'était pas encore si grave, j'étais bien seule à en populariser l'idée"
2842," Certaines d'entre elles sont reprises aujourd'hui par d'autres candidats d'extrême gauche, mais elles ne le sont pas, et je ne m'en étonne pas, par ceux qui ont une chance d'arriver au pouvoir"
2843," Dès que j'ai avancé ce programme de défense des travailleurs, à l'époque sous le nom de ""programme d'urgence"" ou de ""plan d'urgence"", j'ai dit qu'on ne pouvait compter ni sur la droite, ouvertement au service du grand patronat, ni sur la gauche, hypocritement servile envers lui"
2844," Il aurait fallu que ces mesures indispensables pour les travailleurs soient imposées, aussi bien au gouvernement qu'au grand patronat, par mouvement social assez puissant pour les faire reculer"
2845," En l'absence d'un coup d'arrêt, la dégradation sociale n'a jamais cessé"
2846," Le patronat a bénéficié du chômage pour contenir, voire faire baisser les salaires, pour accroître le rythme du travail, pour licencier et faire faire plus de travail avec moins d'ouvriers, pour aggraver l'exploitation"
2847," Et le gouvernement Chirac-Villepin-Sarkozy, reprenant un plan préparé par Jospin, a finalement réussi à repousser l'âge de la retraite et a diminué les pensions pour à peu près tout le monde"
2848," Les gouvernements, ceux de droite bien sûr, mais aussi le gouvernement de la Gauche plurielle dirigé par Jospin de 1997 à 2002, dont ont fait partie Dominique Voynet et Marie-George Buffet, ont exécuté servilement les exigences du grand patronat"
2849," On a connu la dégradation de tous les services publics dont les plus rentables ont été livrés au privé, la flexibilité du travail, la généralisation des contrats précaires"
2850," 756 Tout cela fait que, pour les travailleurs, si les choses ont changé depuis 1995, c'est en pire ! Au cours des douze dernières années, le pouvoir d'achat des salariés a reculé et le chômage n'a pas diminué malgré les manipulations statistiques et les mensonges de ceux qui nous gouvernent"
2851," Et, quant à la crise du logement, déjà importante en 1995, elle s'est considérablement aggravée au cours des dernières années en raison de la spéculation immobilière qui a fait s'envoler les prix au point qu'une fraction croissante des classes populaires est mal, très mal ou pas du tout logée"
2852, C'est à ce moment-là qu'il sera important que le mouvement ne se trompe pas d'objectifs et ne prenne pas l'accessoire pour l'essentiel
2853, Le programme sur lequel je demande aux électeurs populaires de se prononcer en votant pour ma candidature est un programme de défense des travailleurs pour empêcher qu'une fraction croissante de la principale classe productive de la société soit poussée vers la misère
2854," Ce programme, même s'il ne s'attaque pas à la propriété privée des entreprises, implique cependant que l'on impose une autre utilisation des profits gigantesques que réalisent depuis plusieurs années toutes les entreprises, en particulier les plus grandes"
2855," Et, au contraire de ce qu'ont fait tous les gouvernements de droite comme de gauche au cours des dernières années, ce programme implique qu'au lieu de privilégier les intérêts de la classe capitaliste, on cherche à rétablir un peu l'équilibre en prenant sur les privilèges économiques des propriétaires de capitaux pour améliorer le sort des classes populaires"
2856," Il faut, en effet, financer les mesures favorables aux classes populaires par le budget de l'État alimenté par une augmentation sélective des impôts, une augmentation qui frappe plus fort les bénéfices des sociétés et les plus hauts revenus"
2857, C'est même l'inverse
2858," Depuis plusieurs années, il donne bien plus aux groupes industriels et financiers que ce qu'il en reçoit en impôts"
2859," Qu'il soit seulement dit que, dans la même année 2005, le montant total de l'impôt sur les sociétés a rapporté au budget la somme de 53 milliards d'euros, alors que rien que les aides publiques directes aux entreprises se sont montées à 65 milliards d'euros ! Il n'y a aucune nécessité économique ou sociale d'avoir fait baisser l'impôt sur les bénéfices des sociétés des 50 % qu'il était sous Giscard, il y a trente ans, aux 33 % qu'il est actuellement ! Cette diminution n'a fait que contribuer à l'explosion des profits et à diminuer les ressources de l'État au détriment de tous les services publics utiles à la population"
2860, L'impôt sur les bénéfices pourrait et devrait être immédiatement ramené aux 50 % qu'il était auparavant ce qui ferait rentrer chaque année 27 milliards d'euros de plus dans les caisses de l'État
2861," Il est injuste que les revenus les plus élevés soient les moins imposés en proportion, à cause de la réduction du nombre des tranches et de la limitation des tranches supérieures de l'impôt, limitation à laquelle ont contribué tous les gouvernements"
2862," Donc, pour que le budget de l'État permette de rétablir le rôle des services publics et de construire les logements sociaux nécessaires, il faut rétablir l'impôt sur les bénéfices et les tranches supérieures supprimées de l'impôt sur le revenu"
2863," De plus, les plus riches bénéficient d'une multitude de dégrèvements d'impôt, pour l'emploi de personnel domestique, pour des investissements dans l'immobilier locatif, pour l'achat de navires de plaisance, pour les placements dans les DOM-TOM"
2864, L'ensemble de ces niches fiscales représenterait 40 milliards de manque à gagner pour les caisses de l'État
2865," Il n'est que justice qu'elles soient supprimées ! ""Prendre sur le profit"" signifie qu'on contraigne les plus riches à participer à l'effort nécessaire pour faire face à la crise sociale dramatique que représentent le chômage de masse, les bas salaires et la situation du logement"
2866," Si l'entreprise est créatrice de richesses, comme aiment à nous le rappeler les économistes - en général pour nier les droits des travailleurs -, ce n'est pas grâce aux propriétaires, mais grâce à ceux qui y travaillent, grâce à ceux qui font tourner les chaînes de l'industrie automobile, qui font couler le béton pour les constructions ; grâce aux manoeuvres ou aux chercheurs, grâce aux caissières de supermarchés et aux employés des banques"
2867," C'est pour cela qu'un programme de défense des travailleurs signifie nécessairement qu'il faut que les travailleurs, les salariés en général, puissent contrôler ce qui se passe dans leur propre entreprise, celle dont ils assurent collectivement le fonctionnement"
2868," Et, étant donné l'importance sociale de certaines entreprises qui jouent un rôle majeur dans l'économie, il faut que les consommateurs, que la population, participent à ce contrôle et aient accès à toutes les informations concernant ces entreprises"
2869," 757 La première mesure à prendre pour permettre un tel contrôle est de supprimer les lois sur le secret commercial, bancaire et industriel qui interdisent aujourd'hui de divulguer ce que l'on sait d'une entreprise et de ses pratiques"
2870," Il faut que les employés, les comptables, les secrétaires, les ouvriers, les magasiniers, puissent dire si ce que les dirigeants des entreprises déclarent est vrai ou faux et qu'ils puissent vérifier si ce qu'on leur fait faire dans leurs entreprises correspond bien à ce qui est utile à la société"
2871," Ce dont je parle, c'est du contrôle de la comptabilité ordinaire, quotidienne, aussi bien des recettes que des dépenses et de leur nature"
2872, Qu'achète-t-on à un sous-traitant et à quel prix ? Il est à la mode dans les grandes entreprises d'externaliser telle production ou tel service
2873," À qui cela profite-t-il et au détriment de qui ? Et dans le cadre du grand commerce, il faut contrôler quels sont les prix payés aux producteurs de viande, de légumes, de fru its, surtout aux petits producteurs"
2874," Quelle est la marge du grand commerce sur les produits de consommation courante non industrielle ? Et à quoi sert le profit dégagé ? Les défenseurs en de l'ordre capitaliste nous expliquent que le profit, c'est nécessaire parce que, suivant leur slogan d'il y a quelques années, ""les profits d'aujourd’hui' hui sont les investissements de demain et les emplois d'après-demain"" ! C'est un mensonge ! Un des aspects majeurs de la crise économique dans sa phase actuelle est que, si les profits sont élevés, voire sans précédent, ils ne servent pas aux véritables investissements"
2875," Ce que les financiers et les bilans comptables appellent aujourd'hui les investissements, c'est seulement le fait de racheter tout ou partie d'une autre entreprise, concurrente ou pas, avec pour objectif principal de racheter son marché"
2876," Cette opération ne se traduit pas par la création de nouvelles usines, de nouvelles forces productives, mais seulement par une concentration financière"
2877," Elle ne se traduit pas par la création de nouveaux emplois, mais au contraire par des restructurations, par l'élimination de prétendus doublons et par des licenciement s"
2878," La fusion récente de deux grandes entreprises en équipements de télécommunication, Alcatel et Lucent, en fournit l 'illustration"
2879,"000 personnes se retrouvent sur le pavé, dont 1"
2880," Comme vient de le dire ma camarade Sandra, Airbus comme Alcatel-Lucent licencient des chercheurs, des ingénieurs, des techniciens, des travailleurs hautement qualifiés"
2881," Aucun diplôme ne protège du chômage et pour le patronat, un ingénieur est une unité comptable comme un ouvrier sur chaîne, qu'il jette à la porte, sans état d'âme, s'il n'en espère plus le profit escompté ! Voilà pourquoi tout corporatisme, toute illusion que c'est en se cramponnant aux intérêts de sa catégorie que l'on se défend le mieux, est nuisible à nos propres intérêts"
2882," Par delà les catégories, par delà les barrières artificielles qu'on dresse entre travailleur s, c'est seulement ensemble que nous pouvons nous défendre ! Pour en revenir au contrôle, élément essentiel d'un programme de défense de la population travailleuse, il faut aussi se donner les moyens de connaître les projets à court et à long terme de l'entreprise"
2883," Il est, par exemple, inadmissible que sa direction puisse préparer un plan de licenciements longtemps à l'avance et que les travailleurs n'en soient avertis que lorsque le couperet tombe"
2884," Mais je ne pense pas seulement aux licenciements, je pense aussi à tous les projets qui contiennent des menaces pour l'environnement"
2885," Il faut que les associations qui militent sur ce terrain puissent participer au contrôle, comme il faut que le puissent également les associations de consommateurs"
2886," Le contrôle exige aussi qu'on puisse rendre publics, c'est-à-dire accessibles à tous, les revenus, les avoirs et les biens de tous les grands patrons, de leurs alliés, de leurs hommes de paille"
2887, Le contrôle est indispensable pour pouvoir imposer au patronat les mesures d'urgence destinées à résorber le chômage
2888," Ce n'est ni exproprier, ni nationaliser les entreprises privées mais simplement les rendre transparentes en permanence pour la population"
2889," Ce contrôle est aussi de l'intérêt des autres classes populaires, les petits paysans, les petits pêcheurs, écrasés par les grandes chaînes de distribution et les artisans étranglés par les banques"
2890," À lire la liste des plans sociaux annoncés, ceux qui sont déjà en cours, comme chez Airbus, Alcatel-Lucent, Kodak ou Nestlé, ou ceux qui sont prévus, comme chez ARKEMA, Michelin ou Peugeot-Citroën, on voit défiler le nom de toutes les entreprises du CAC 40, ou presque, ces mêmes entreprises dont les dirigeants se vantent de profits exceptionnels"
2891," C'est le contrôle étroit, quotidien, par les travailleurs et la population concernée qui permettra de vérifier que les licenciements collectifs ne sont jamais justifiés et qui permettra de s'y opposer"
2892," L'on peut maintenir les emplois en prenant sur les bénéfices, soit ceux de l'année, soit sur ceux qui ont été accumulés dans les années précédentes"
2893," Il faut les généraliser à toutes les entreprises, interdire les heures supplémentaires et remplacer celles qui seraient nécessaires par des embauches supplémentaires"
2894," Il faut remplacer tous les contrats précaires par des CDI et, pour éviter les temps partiels imposés, ne pas autoriser qu'un salaire puisse être inférieur au Smic même si le temps de travail est inférieur à 35 heures"
2895," L'État lui-même a supprimé, au fil du temps, des centaines de milliers de postes dans les services publics ou dans l'administration, emplois qui contribuaient à la vie quotidienne des classes populaires"
2896, Les augmentations sélectives de l'impôt sur les bénéfices des sociétés et de l'impôt sur les hauts revenus dont j'ai parlé tout à l'heure devraient servir à inverser le mouvement et à créer des emplois utiles dans les services publics
2897," En réformant l'impôt, l'État peut et doit embaucher immédiatement du personnel dans les hôpitaux, dans les maisons de retraite, à La Poste, dans l'Éducation nationale"
2898," Les heures supplémentaires, en principe récupérables, ne sont jamais récupérées"
2899, Bien des hôpitaux ne pourraient tout simplement pas fonctionner s'ils n'imposaient pas au personnel des horaires de travail usants
2900," Et, malgré les sacrifices imposés au personnel , on ferme des salles dans les grands hôpitaux des grandes villes"
2901," Les fermetures de bureaux de poste dans les villages non seulement gâchent la vie, celle en particulier des personnes âgées ou qui ont du mal à se déplacer, mais contribuent à la décomposition de toute la vie sociale"
2902," Dans les grandes villes, le facteur qui passait deux fois par jour, fait partie de lointains souvenirs"
2903," Se rendre dans un bureau de poste en ville, même pour une opération simple et quotidienne, devient une épreuve, tant les files d'attente sont longues et le personnel débordé"
2904," Il faut embaucher et former des instituteurs, des professeurs, du personnel technique et médical dans l'Éducation nationale"
2905," Et puis, il faut embaucher dans un nouveau service public à créer, un office national du logement, qui prendrait en main la construction des logements HLM qui manquent"
2906, Les chiffres sont aujourd'hui largement connus
2907," Selon la Fondation Abbé-Pierre, il y a un million trois cent mille familles inscrites sur les listes d'attente des HLM, trois millions de personnes sont mal logées"
2908," Il est inacceptable, il est scandaleux qu'au XXIème siècle, dans un des pays les plus riches de la planète, trois millions de personnes soient obligées de vivre dans des hôtels vétustes, dans des logements délabrés, dans des taudis infects, voire dans des caravanes, alors qu'il est possible, tout aussi bien sur le plan technique que sur le plan du financement, de construire le nombre de logements nécessaire pour résorber la crise du logement en trois ans ! En 2005, les entreprises ont bénéficié de 65 milliards d'aides publiques directes, et depuis, cela a encore augmenté"
2909," En outre, il y a plus de 35 milliards par an d'aides indirectes passant par le biais de surfacturations de produits et de services achetés par l'État, de terrains viabilisés offerts aux entreprises qui daignent s'installer quelque part ou encore par le biais de multiples avantages par lesquels l'État favorise les entreprises"
2910," Cela fait au bas mot 100 milliards par an qui sont donnés à fonds perdus aux entreprises, c'est -à-dire à leurs propriétaires, sans que ce soit utile en quoi que ce soit à la collectivité sans que le chômage cesse d'augmenter"
2911," Et on continue à dépenser ainsi l'argent public, année après année, sous tous les gouvernements, alors que la crise du logement populaire est telle qu'elle devrait être une priorité nationale ! 759 Avec ces 100 milliards annuels, il est possible de construire un million de logements à 100"
2912," Et si l'État embauche lui-même sans que les bétonneurs à la Bouygues prélèvent leur part de profit, il est probable que la construction coûte moins cher encore"
2913," En trois ans, le problème du logement populaire pourrait être réglé, en ayant non seulement satisfait les besoins immédiats, mais en les ayant dépassés en prévision de l'avenir pour faire aussi, par contrecoup, baisser les loyers du privé"
2914," En ce qui concerne le foncier, l'État ne doit pas accepter pour ses projets la hausse spéculative des dernières années"
2915," Il faut réquisitionner à prix zéro les immeubles, les hôtels et les taudis que les marchands de sommeil mettent en location"
2916, Les propriétaires ont suffisamment gagné d'argent en louant depuis des années leurs taudis à des prix prohibitifs
2917," Et si c'est un office public qui centralise la gestion de la construction, il est possible de planifier de façon à éviter les ghettos, et de disperser les logements populaires en en construisant aussi dans les centres-villes"
2918," Quant à la baisse du pouvoir d'achat, depuis le blocage des salaires, elle concerne même ceux qui ont un emploi stable"
2919," Les salaires augmentent plus lentement que les prix et, surtout, les gouvernements successifs ont ajouté des prélèvements, comme la CSG ou le RDS, la hausse du forfait hospitalier, le non-remboursement ou le remboursement seulement partiel des médicaments ou des consultations médicales"
2920," Il est indispensable d'augmenter tous les salaires de 300 euros net, rien que pour retrouver le pouvoir d'achat volé au fil des ans"
2921," Aucun salaire ne doit être inférieur à 1500 euros net par mois, pas plus qu'aucune retraite ou allocation pour handicapé"
2922, C'est un minimum pour vivre aujourd'hui ! Voilà le programme absolument nécessaire pour arrêter la dégradation des conditions d'existence des classes populaires
2923," Et si Sarkozy peut aggraver encore les choses, Ségolène Royal ne pourra absolument pas les améliorer vraiment car elle laissera les mains entièrement libres au grand capital"
2924," L'État bourgeois lui-même sait, en temps de guerre, prendre de telles mesures"
2925," Eh bien, la lutte contre le chômage, contre la misère exige une politique au moins aussi autoritaire car c'est une question de survie de toute la population"
2926, Un gouvernement qui aurait pour préoccupation d'arrêter la dégradation du sort des classes populaires pourrait appliquer ce programme
2927," Mais il faudrait pour cela être décidé à affronter la bourgeoisie pour l'obliger à renoncer à une partie des privilèges qu'elle s'est appropriés au cours des vingt-cinq dernières années, au détriment des classes laborieuses"
2928, Aucun gouvernement de droite ou de gauche ne le fera naturellement car aucun d'eux ne voudra toucher un tant soit peu aux intérêts de la classe riche
